class;precision;recall;f1_score;support
buildings;0.9567515617491591;0.9087174806024646;0.9321161048689139;2191
forest;0.9925044091710759;0.991193306913254;0.9918484247631637;2271
glacier;0.7943396226415095;0.8609406952965235;0.8263002944062806;1467
mountain;0.9011170872983036;0.8670382165605095;0.8837492391965915;2512
sea;0.9666370106761566;0.955584872471416;0.961079168509509;2274
street;0.9225832330525471;0.9655751469353484;0.9435897435897435;2382
